organ,query,auc_roc,auc_pr,n_patients,threshold,f1,sensitivity,specificity,precision,npv,tp,tn,fp,fn
extravasation,contrast blush indicating ongoing hemorrhage,0.6619718309859155,0.5219194184297777,100,-0.5032848715782166,0.5242718446601942,0.9310344827586207,0.3380281690140845,0.36486486486486486,0.9230769230769231,27,24,47,2
extravasation,active hemorrhage with contrast pooling,0.6406022340942206,0.49463485935960677,100,-0.4560329020023346,0.5242718446601942,0.9310344827586207,0.3380281690140845,0.36486486486486486,0.9230769230769231,27,24,47,2
extravasation,life-threatening active hemorrhage,0.6279747450218552,0.5270376139500774,100,-0.26569533348083496,0.5142857142857142,0.9310344827586207,0.30985915492957744,0.35526315789473684,0.9166666666666666,27,22,49,2
extravasation,CT showing active extravasation,0.5998057309373482,0.46117905913822904,100,-0.7409420013427734,0.5132743362831858,1.0,0.22535211267605634,0.34523809523809523,1.0,29,16,55,0
extravasation,contrast extravasation on imaging,0.6202039825157843,0.4886195808082736,100,-0.8306919932365417,0.5087719298245613,1.0,0.2112676056338028,0.3411764705882353,1.0,29,15,56,0
extravasation,bleeding requiring urgent intervention,0.6041767848470131,0.429299604005547,100,-1.1063103675842285,0.5043478260869565,1.0,0.19718309859154928,0.3372093023255814,1.0,29,14,57,0
extravasation,arterial bleeding with contrast blush,0.6270033997085964,0.5078328688926,100,-1.0121631622314453,0.5,0.5517241379310345,0.7323943661971831,0.45714285714285713,0.8,16,52,19,13
extravasation,venous extravasation in trauma patient,0.6168042739193784,0.4846232173818897,100,-0.7206622958183289,0.5,1.0,0.18309859154929578,0.3333333333333333,1.0,29,13,58,0
extravasation,extravasation of contrast material,0.5964060223409422,0.4691498040710683,100,-0.7239581346511841,0.5,1.0,0.18309859154929578,0.3333333333333333,1.0,29,13,58,0
extravasation,normal vascular enhancement pattern,0.5973773676542011,0.3838155974916354,100,-0.811407744884491,0.4957264957264957,1.0,0.16901408450704225,0.32954545454545453,1.0,29,12,59,0
extravasation,vascular extravasation on CT angiography,0.6080621661000486,0.4565088024981931,100,-1.3147469758987427,0.495575221238938,0.9655172413793104,0.2112676056338028,0.3333333333333333,0.9375,28,15,56,1
extravasation,contrast extravasation indicating active bleeding,0.6206896551724137,0.48935132341614884,100,-0.6705252528190613,0.4915254237288135,1.0,0.15492957746478872,0.3258426966292135,1.0,29,11,60,0
extravasation,extravascular contrast collection,0.6119475473530841,0.4770119373781957,100,-0.9230790138244629,0.4915254237288135,1.0,0.15492957746478872,0.3258426966292135,1.0,29,11,60,0
extravasation,active bleeding on contrast-enhanced CT,0.6041767848470131,0.4110527089053071,100,-1.1584488153457642,0.4814814814814815,0.896551724137931,0.2535211267605634,0.3291139240506329,0.8571428571428571,26,18,53,3
extravasation,contrast leak from damaged vessel,0.5823215152986887,0.42537489390528305,100,-0.8661328554153442,0.48000000000000004,0.41379310344827586,0.8732394366197183,0.5714285714285714,0.7848101265822784,12,62,9,17
extravasation,no evidence of active bleeding on CT,0.6032054395337543,0.4573398234769185,100,-1.0747151374816895,0.4793388429752066,1.0,0.11267605633802817,0.31521739130434784,1.0,29,8,63,0
extravasation,active bleeding requiring embolization,0.5998057309373482,0.42053195676978183,100,-0.4300670325756073,0.4705882352941177,0.9655172413793104,0.1267605633802817,0.3111111111111111,0.9,28,9,62,1
