organ,query,auc_roc,auc_pr,n_patients,threshold,f1,sensitivity,specificity,precision,npv,tp,tn,fp,fn
kidney,traumatic renal artery injury,0.4667207792207792,0.4012944882238917,100,-0.8399938344955444,0.631578947368421,0.9545454545454546,0.16071428571428573,0.47191011235955055,0.8181818181818182,42,9,47,2
kidney,grade 4 renal injury with urinary extravasation,0.4675324675324675,0.3982165690853139,100,-0.7636916041374207,0.6268656716417911,0.9545454545454546,0.14285714285714285,0.4666666666666667,0.8,42,8,48,2
kidney,grade 5 kidney injury requiring surgery,0.47686688311688313,0.4031409887560073,100,-0.7654596567153931,0.6259541984732825,0.9318181818181818,0.17857142857142858,0.47126436781609193,0.7692307692307693,41,10,46,3
kidney,renal contusion on abdominal imaging,0.5056818181818181,0.4453154835568363,100,-0.7537801265716553,0.6222222222222222,0.9545454545454546,0.125,0.46153846153846156,0.7777777777777778,42,7,49,2
kidney,normal kidney enhancement pattern,0.4756493506493506,0.39956245203121654,100,-0.6135560870170593,0.6212121212121211,0.9318181818181818,0.16071428571428573,0.4659090909090909,0.75,41,9,47,3
kidney,renal collecting system injury,0.461038961038961,0.39512172110868415,100,-1.0821062326431274,0.6212121212121211,0.9318181818181818,0.16071428571428573,0.4659090909090909,0.75,41,9,47,3
kidney,CT showing kidney injury,0.4772727272727273,0.40312008678696254,100,-0.8355252146720886,0.6201550387596899,0.9090909090909091,0.19642857142857142,0.47058823529411764,0.7333333333333333,40,11,45,4
kidney,kidney laceration on trauma imaging,0.4878246753246753,0.4157587823137646,100,-0.9673237800598145,0.6176470588235293,0.9545454545454546,0.10714285714285714,0.45652173913043476,0.75,42,6,50,2
kidney,nephrectomy required for traumatic injury,0.4655032467532467,0.3962660748782398,100,-0.804095447063446,0.6142857142857142,0.9772727272727273,0.05357142857142857,0.4479166666666667,0.75,43,3,53,1
kidney,intact renal parenchyma on CT,0.45738636363636365,0.39368072224572626,100,-0.9110012054443359,0.6131386861313868,0.9545454545454546,0.08928571428571429,0.45161290322580644,0.7142857142857143,42,5,51,2
kidney,kidney injury with retroperitoneal bleeding,0.47443181818181823,0.4156975617974602,100,-0.9611972570419312,0.6131386861313868,0.9545454545454546,0.08928571428571429,0.45161290322580644,0.7142857142857143,42,5,51,2
kidney,renal parenchymal tear from trauma,0.47037337662337664,0.4048702608289733,100,-0.7111514210700989,0.6131386861313868,0.9545454545454546,0.08928571428571429,0.45161290322580644,0.7142857142857143,42,5,51,2
kidney,renal injury on contrast-enhanced CT,0.463474025974026,0.39468642276378385,100,-1.1397916078567505,0.6119402985074627,0.9318181818181818,0.125,0.45555555555555555,0.7,41,7,49,3
kidney,kidney trauma visible on CT scan,0.4793019480519481,0.4064187553221349,100,-0.8337496519088745,0.6119402985074627,0.9318181818181818,0.125,0.45555555555555555,0.7,41,7,49,3
kidney,renal laceration with perirenal hematoma,0.5016233766233766,0.45194922582969954,100,-0.8237701654434204,0.6086956521739131,0.9545454545454546,0.07142857142857142,0.44680851063829785,0.6666666666666666,42,4,52,2
kidney,severe renal trauma with shock,0.4805194805194805,0.41436456893479356,100,-0.8223499655723572,0.6060606060606061,0.9090909090909091,0.14285714285714285,0.45454545454545453,0.6666666666666666,40,8,48,4
kidney,perirenal hematoma on CT scan,0.49025974025974023,0.4225513736775614,100,-1.0109721422195435,0.6056338028169014,0.9772727272727273,0.017857142857142856,0.4387755102040816,0.5,43,1,55,1
