organ,query,auc_roc,auc_pr,n_patients,threshold,f1,sensitivity,specificity,precision,npv,tp,tn,fp,fn
spleen,traumatic splenic rupture,0.544179523141655,0.33503827028711863,100,-0.6723858118057251,0.47191011235955055,0.6774193548387096,0.463768115942029,0.3620689655172414,0.7619047619047619,21,32,37,10
spleen,splenic injury on contrast imaging,0.528284244974287,0.34413107602342485,100,-0.8224499821662903,0.4693877551020407,0.7419354838709677,0.36231884057971014,0.34328358208955223,0.7575757575757576,23,25,44,8
spleen,spleen laceration on trauma CT,0.5437120149602618,0.35953639176421237,100,-0.9367717504501343,0.4680851063829788,0.7096774193548387,0.4057971014492754,0.3492063492063492,0.7567567567567568,22,28,41,9
spleen,normal spleen enhancement pattern,0.5465170640486208,0.34752351002219395,100,-0.4613892138004303,0.4672897196261682,0.8064516129032258,0.2608695652173913,0.32894736842105265,0.75,25,18,51,6
spleen,grade 5 splenic injury requiring splenectomy,0.5264142122487143,0.3445568579147351,100,-0.892953634262085,0.4666666666666667,0.9032258064516129,0.11594202898550725,0.3146067415730337,0.7272727272727273,28,8,61,3
spleen,grade 4 spleen injury with active bleeding,0.530621785881253,0.3469454953089117,100,-0.9257986545562744,0.4651162790697674,0.967741935483871,0.014492753623188406,0.30612244897959184,0.5,30,1,68,1
spleen,splenic bleeding with contrast extravasation,0.48948106591865354,0.33439146634411887,100,-1.043397068977356,0.4651162790697674,0.967741935483871,0.014492753623188406,0.30612244897959184,0.5,30,1,68,1
spleen,splenic hematoma on abdominal CT,0.46143057503506313,0.29778107565078243,100,-1.1371588706970215,0.4651162790697674,0.967741935483871,0.014492753623188406,0.30612244897959184,0.5,30,1,68,1
spleen,spleen trauma on abdominal CT,0.5338943431510051,0.34466269248993586,100,-1.242678165435791,0.4651162790697674,0.967741935483871,0.014492753623188406,0.30612244897959184,0.5,30,1,68,1
spleen,CT showing spleen injury,0.5189340813464236,0.34080904644973264,100,-1.0930079221725464,0.4651162790697674,0.967741935483871,0.014492753623188406,0.30612244897959184,0.5,30,1,68,1
spleen,severe splenic trauma requiring surgery,0.5399719495091164,0.35396162546472654,100,-0.7340959310531616,0.4642857142857143,0.8387096774193549,0.2028985507246377,0.32098765432098764,0.7368421052631579,26,14,55,5
spleen,intact splenic parenchyma on CT,0.5338943431510051,0.34737434740469286,100,-0.9110650420188904,0.46280991735537197,0.9032258064516129,0.10144927536231885,0.3111111111111111,0.7,28,7,62,3
spleen,spleen injury from blunt abdominal trauma,0.5077138849929874,0.3092117829596881,100,-0.6727604866027832,0.46280991735537197,0.9032258064516129,0.10144927536231885,0.3111111111111111,0.7,28,7,62,3
spleen,splenic parenchymal tear,0.4978962131837307,0.357091439926838,100,-0.9191308617591858,0.46153846153846156,0.967741935483871,0.0,0.30303030303030304,0.0,30,0,69,1
spleen,hemoperitoneum from splenic injury,0.4913510986442263,0.3131075235887537,100,-0.7584252953529358,0.46153846153846156,0.967741935483871,0.0,0.30303030303030304,0.0,30,0,69,1
spleen,splenic hematoma visible on imaging,0.5025712949976625,0.31587623994250713,100,-0.7760957479476929,0.46153846153846156,0.967741935483871,0.0,0.30303030303030304,0.0,30,0,69,1
spleen,splenic laceration with hemoperitoneum,0.4791958859280038,0.29588578502644736,100,-0.8937152624130249,0.46153846153846156,0.967741935483871,0.0,0.30303030303030304,0.0,30,0,69,1
